QUERY: 	new coronavirus cases
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags	Cluster
11	1124	But.. But.. You're just a facebook karen 😂🤷‍♂️ #covid #COVID19 #coronavirus #vaccine #liverpool https://t.co/a7Gt13ntRV	Mackey69er2	Mon Dec 07 13:02:22 +0000 2020	https://twitter.com/twitter/statuses/1335932666307342336	0	0	[{'text': 'covid', 'indices': [47, 53]}, {'text': 'COVID19', 'indices': [54, 62]}, {'text': 'coronavirus', 'indices': [63, 75]}, {'text': 'vaccine', 'indices': [76, 84]}, {'text': 'liverpool', 'indices': [85, 95]}]	1
12	10567	Please guys this is the only way out of the pandemic! Don’t believe the negative BS around vaccines. We can’t afford for 2021 to be a disaster like 2020.  Protect yourself and others! 🙏 #vaccine #covid_19 #covid #coronavirus https://t.co/aDfvg28ZDf	ianwaite	Mon Dec 07 15:06:08 +0000 2020	https://twitter.com/twitter/statuses/1335963813447929858	25	513	[{'text': 'vaccine', 'indices': [186, 194]}, {'text': 'covid_19', 'indices': [195, 204]}, {'text': 'covid', 'indices': [205, 211]}, {'text': 'coronavirus', 'indices': [212, 224]}]	1
13	10389	Please guys this is the only way out of the pandemic! Don’t believe the negative BS around vaccines. We can’t afford for 2021 to be a disaster like 2020.  Protect yourself and others! 🙏 #vaccine #covid_19 #covid #coronavirus https://t.co/PrQyNLW344	ianwaite	Mon Dec 07 15:04:17 +0000 2020	https://twitter.com/twitter/statuses/1335963348542906369	14	129	[{'text': 'vaccine', 'indices': [186, 194]}, {'text': 'covid_19', 'indices': [195, 204]}, {'text': 'covid', 'indices': [205, 211]}, {'text': 'coronavirus', 'indices': [212, 224]}]	1
14	11518	"Covid: Army could be used to transport vaccine, says minister via @BBCNews 

https://t.co/jJH9xfxqri

#UK #Brexit #COVID19 #coronavirus #vaccines #healthcare #medicine #science #research #workers #economy #politics #RegionalSecurity #WHO"	ChuckDalldorf	Mon Dec 07 15:16:49 +0000 2020	https://twitter.com/twitter/statuses/1335966501182918656	0	0	[{'text': 'UK', 'indices': [102, 105]}, {'text': 'Brexit', 'indices': [106, 113]}, {'text': 'COVID19', 'indices': [114, 122]}, {'text': 'coronavirus', 'indices': [123, 135]}, {'text': 'vaccines', 'indices': [136, 145]}, {'text': 'healthcare', 'indices': [146, 157]}, {'text': 'medicine', 'indices': [158, 167]}, {'text': 'science', 'indices': [168, 176]}, {'text': 'research', 'indices': [177, 186]}, {'text': 'workers', 'indices': [187, 195]}, {'text': 'economy', 'indices': [196, 204]}, {'text': 'politics', 'indices': [205, 214]}, {'text': 'RegionalSecurity', 'indices': [215, 232]}, {'text': 'WHO', 'indices': [233, 237]}]	1
15	3165	@CNN Check out this blog to know what are the different Covid 19 vaccinations in making  and who will get the vaccine first .    https://t.co/KUREQqntcK . #COVID__19 #vaccine #WHO #CoronaVirusDE #COVIDIOTS #coronavirus #COVID19ireland #Corona #coronaviruspandemic #Covaxin #Moderna https://t.co/vQR5j0YGiv	DuaSahildua1	Mon Dec 07 13:35:34 +0000 2020	https://twitter.com/twitter/statuses/1335941020949745665	0	0	[{'text': 'COVID__19', 'indices': [155, 165]}, {'text': 'vaccine', 'indices': [166, 174]}, {'text': 'WHO', 'indices': [175, 179]}, {'text': 'CoronaVirusDE', 'indices': [180, 194]}, {'text': 'COVIDIOTS', 'indices': [195, 205]}, {'text': 'coronavirus', 'indices': [206, 218]}, {'text': 'COVID19ireland', 'indices': [219, 234]}, {'text': 'Corona', 'indices': [235, 242]}, {'text': 'coronaviruspandemic', 'indices': [243, 263]}, {'text': 'Covaxin', 'indices': [264, 272]}, {'text': 'Moderna', 'indices': [273, 281]}]	1
16	3141	@WSJ Check out this blog to know what are the different Covid 19 vaccinations in making  and who will get the vaccine first .    https://t.co/KUREQqntcK . #COVID__19 #vaccine #WHO #CoronaVirusDE #COVIDIOTS #coronavirus #COVID19ireland #Corona #coronaviruspandemic #Covaxin #Moderna https://t.co/jfBJIGL2bo	DuaSahildua1	Mon Dec 07 13:35:13 +0000 2020	https://twitter.com/twitter/statuses/1335940933292978176	0	0	[{'text': 'COVID__19', 'indices': [155, 165]}, {'text': 'vaccine', 'indices': [166, 174]}, {'text': 'WHO', 'indices': [175, 179]}, {'text': 'CoronaVirusDE', 'indices': [180, 194]}, {'text': 'COVIDIOTS', 'indices': [195, 205]}, {'text': 'coronavirus', 'indices': [206, 218]}, {'text': 'COVID19ireland', 'indices': [219, 234]}, {'text': 'Corona', 'indices': [235, 242]}, {'text': 'coronaviruspandemic', 'indices': [243, 263]}, {'text': 'Covaxin', 'indices': [264, 272]}, {'text': 'Moderna', 'indices': [273, 281]}]	1
17	3080	@ANI Check out this blog to know what are the different Covid 19 vaccinations in making  and who will get the vaccine first .    https://t.co/KUREQqntcK . #COVID__19 #vaccine #WHO #CoronaVirusDE #COVIDIOTS #coronavirus #COVID19ireland #Corona #coronaviruspandemic #Covaxin #Moderna https://t.co/qs4b6H9Ne2	DuaSahildua1	Mon Dec 07 13:34:14 +0000 2020	https://twitter.com/twitter/statuses/1335940686013599745	0	0	[{'text': 'COVID__19', 'indices': [155, 165]}, {'text': 'vaccine', 'indices': [166, 174]}, {'text': 'WHO', 'indices': [175, 179]}, {'text': 'CoronaVirusDE', 'indices': [180, 194]}, {'text': 'COVIDIOTS', 'indices': [195, 205]}, {'text': 'coronavirus', 'indices': [206, 218]}, {'text': 'COVID19ireland', 'indices': [219, 234]}, {'text': 'Corona', 'indices': [235, 242]}, {'text': 'coronaviruspandemic', 'indices': [243, 263]}, {'text': 'Covaxin', 'indices': [264, 272]}, {'text': 'Moderna', 'indices': [273, 281]}]	1
18	1369	Bharat Biotech says vaccine efficacious, safe. #covid #vaccine #global #pandemic #lockdown #public #coronavirus #covaxin #safe #india #market #pharmacy #pharmaceuticalindustry #caspr #research https://t.co/FH7lQyYM0n	CASPR_INDIA	Mon Dec 07 13:07:08 +0000 2020	https://twitter.com/twitter/statuses/1335933864963833856	0	1	[{'text': 'covid', 'indices': [47, 53]}, {'text': 'vaccine', 'indices': [54, 62]}, {'text': 'global', 'indices': [63, 70]}, {'text': 'pandemic', 'indices': [71, 80]}, {'text': 'lockdown', 'indices': [81, 90]}, {'text': 'public', 'indices': [91, 98]}, {'text': 'coronavirus', 'indices': [99, 111]}, {'text': 'covaxin', 'indices': [112, 120]}, {'text': 'safe', 'indices': [121, 126]}, {'text': 'india', 'indices': [127, 133]}, {'text': 'market', 'indices': [134, 141]}, {'text': 'pharmacy', 'indices': [142, 151]}, {'text': 'pharmaceuticalindustry', 'indices': [152, 175]}, {'text': 'caspr', 'indices': [176, 182]}, {'text': 'research', 'indices': [183, 192]}]	1
19	858	@ANI Check out this blog to know what are the different Covid 19 vaccinations in making  and who will get the vaccine first .    https://t.co/KUREQqntcK . #COVID__19 #vaccine #WHO #CoronaVirusDE #COVIDIOTS #coronavirus #COVID19ireland #Corona #coronaviruspandemic #Covaxin #Moderna https://t.co/60hNE0G2NT	DuaSahildua1	Mon Dec 07 12:57:47 +0000 2020	https://twitter.com/twitter/statuses/1335931513859293193	0	0	[{'text': 'COVID__19', 'indices': [155, 165]}, {'text': 'vaccine', 'indices': [166, 174]}, {'text': 'WHO', 'indices': [175, 179]}, {'text': 'CoronaVirusDE', 'indices': [180, 194]}, {'text': 'COVIDIOTS', 'indices': [195, 205]}, {'text': 'coronavirus', 'indices': [206, 218]}, {'text': 'COVID19ireland', 'indices': [219, 234]}, {'text': 'Corona', 'indices': [235, 242]}, {'text': 'coronaviruspandemic', 'indices': [243, 263]}, {'text': 'Covaxin', 'indices': [264, 272]}, {'text': 'Moderna', 'indices': [273, 281]}]	1
20	811	"2021 - When we look back fondly at 2020 missing it, because of the ZOMBIE APOCALYPSE caused by the vaccine.

#vaccination #vaccine #COVID19 #COVID #lockdown #viral #humor #Election2020 #realDonaldTrump #BidenWasNotElected #bidenharis2020 #coronavirus #FoxNews #CNN"	RissmillerKevin	Mon Dec 07 12:57:04 +0000 2020	https://twitter.com/twitter/statuses/1335931331759407105	0	0	[{'text': 'vaccination', 'indices': [109, 121]}, {'text': 'vaccine', 'indices': [122, 130]}, {'text': 'COVID19', 'indices': [131, 139]}, {'text': 'COVID', 'indices': [140, 146]}, {'text': 'lockdown', 'indices': [147, 156]}, {'text': 'viral', 'indices': [157, 163]}, {'text': 'humor', 'indices': [164, 170]}, {'text': 'Election2020', 'indices': [171, 184]}, {'text': 'realDonaldTrump', 'indices': [185, 201]}, {'text': 'BidenWasNotElected', 'indices': [202, 221]}, {'text': 'bidenharis2020', 'indices': [222, 237]}, {'text': 'coronavirus', 'indices': [238, 250]}, {'text': 'FoxNews', 'indices': [251, 259]}, {'text': 'CNN', 'indices': [260, 264]}]	1
