QUERY: 	I got covid
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
16	11719	"SICK...SICK...SICK!

US bishops endorse abortion-tainted COVID vaccine: ‘an act of love of our neighbor’ | News | LifeSite https://t.co/PJvgNnoMFw"	PatriciaBride	Wed Dec 16 22:16:04 +0000 2020	https://twitter.com/twitter/statuses/1339333499904520193	0	0	[]
17	346	Modi should focus on strategy on Covid vaccine, instead of publicity: Cong https://t.co/nEsWUwUHi5	INDdotNews	Sat Nov 28 09:43:14 +0000 2020	https://twitter.com/twitter/statuses/1332621059959435266	0	0	[]
18	13652	Normal vaccines are boring, I want my covid antibodies in the form of a gold ball sized suppository. #butt #vaccine #treasurehole	gluten_yung	Wed Dec 16 22:18:04 +0000 2020	https://twitter.com/twitter/statuses/1339334001895616516	0	0	[{'text': 'butt', 'indices': [101, 106]}, {'text': 'vaccine', 'indices': [107, 115]}, {'text': 'treasurehole', 'indices': [116, 129]}]
19	9707	@natalie_allison @GovBillLee Maybe he was busy packing the storage unit with the COVID vaccine.	Rpdmem1804	Wed Dec 16 22:14:00 +0000 2020	https://twitter.com/twitter/statuses/1339332978544156672	0	2	[]
20	5933	"Damn, the world out here doing a COVID vaccine speedrun

#COVID19 #coronavirus"	jdr_rose	Mon Dec 07 15:49:16 +0000 2020	https://twitter.com/twitter/statuses/1335974666742222848	0	0	[{'text': 'COVID19', 'indices': [57, 65]}, {'text': 'coronavirus', 'indices': [66, 78]}]
QUERY: 	country with more cases
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
 
1	19369	California is now reporting more #coronavirus cases than most countries. Yesterday more than 53-thousand new cases were reported, the most statewide by far. Another record, 293 new deaths reported.	LauraGarciaNBC	Thu Dec 17 13:30:00 +0000 2020	https://twitter.com/twitter/statuses/1339563500000178179	4	12	[{'text': 'coronavirus', 'indices': [33, 45]}]
2	5466	"377 more COVID-19 cases detected, bringing the total number of cases reported today to 703. Total infections in the country increases to 28,580.
#SriLanka #lka #coronavirus #COVID19"	newsradiolk	Mon Dec 07 15:32:37 +0000 2020	https://twitter.com/twitter/statuses/1335970476183625729	5	1	[{'text': 'SriLanka', 'indices': [145, 154]}, {'text': 'lka', 'indices': [155, 159]}, {'text': 'coronavirus', 'indices': [160, 172]}, {'text': 'COVID19', 'indices': [173, 181]}]
3	6123	"377 more COVID-19 cases detected, bringing the total number of cases reported today to 703. Total infections in the country increases to 28,580.
#SriLanka #lka #coronavirus #COVID19 #COVID19SL #COVID19LK"	imSVithu02	Mon Dec 07 15:56:21 +0000 2020	https://twitter.com/twitter/statuses/1335976450592161799	2	1	[{'text': 'SriLanka', 'indices': [145, 154]}, {'text': 'lka', 'indices': [155, 159]}, {'text': 'coronavirus', 'indices': [160, 172]}, {'text': 'COVID19', 'indices': [173, 181]}, {'text': 'COVID19SL', 'indices': [182, 192]}, {'text': 'COVID19LK', 'indices': [193, 203]}]
4	5543	"Peliyagoda - Diwulapitiya cluster exceeds 25,000
377 more COVID-19 cases detected, bringing the total number of cases reported today to 703. Total infections in the country increases to 28,580. Cluster - 25,025
#SriLanka #lka #coronavirus #COVID19 #COVID19SL #COVID19LK"	ranganashamil	Mon Dec 07 15:35:24 +0000 2020	https://twitter.com/twitter/statuses/1335971179085983745	3	3	[{'text': 'SriLanka', 'indices': [211, 220]}, {'text': 'lka', 'indices': [221, 225]}, {'text': 'coronavirus', 'indices': [226, 238]}, {'text': 'COVID19', 'indices': [239, 247]}, {'text': 'COVID19SL', 'indices': [248, 258]}, {'text': 'COVID19LK', 'indices': [259, 269]}]
5	14523	"#COVID19 confirmed cases and deaths reported by countries and areas in the @WHO Western Pacific Region over the past 24 hours.

For more info on #coronavirus cases in the Region, go to our dashboard: https://t.co/qQ2L14iMqi https://t.co/a59djo5a7d"	WHOWPRO	Thu Dec 17 09:24:39 +0000 2020	https://twitter.com/twitter/statuses/1339501754686132226	4	14	[{'text': 'COVID19', 'indices': [0, 8]}, {'text': 'coronavirus', 'indices': [145, 157]}]
6	1872	"12/7/2020 AM #1b: #Covid-19 Cases in USA now 15,161,782 (+176,640, 1.1%)(220,931 Record 12/4/20), 6,014,935 active, 288,962 dead, 26,448 serious or critical, and 8,857,885 recovered
53 countries had over 1,000 new #Covid-19 cases in last 24hrs.
Remember ***** Thanksgiving Week **"	FRC7	Mon Dec 07 13:17:32 +0000 2020	https://twitter.com/twitter/statuses/1335936480406081536	0	0	[{'text': '1b', 'indices': [13, 16]}, {'text': 'Covid', 'indices': [18, 24]}, {'text': 'Covid', 'indices': [214, 220]}]
7	1863	12/7/2020 AM #1a: Now 67,500,624 #Covid-19 Cases in 218 countries (+503,774, 0.7%)(+713,215 Record 12/5/20), 19,260,472 currently infected, 106,229 are serious or critical (0.6%), 1,543,792 dead (2.2% death rate), 46,696,360 recovered.	FRC7	Mon Dec 07 13:17:07 +0000 2020	https://twitter.com/twitter/statuses/1335936377754677250	0	0	[{'text': '1a', 'indices': [13, 16]}, {'text': 'Covid', 'indices': [33, 39]}]
8	8938	"#Brazil registered more than 70,000 additional cases of the novel #coronavirus on Wednesday, the nation's health ministry said, pushing the country's total confirmed cases over 7 million.
https://t.co/xCDVv1peCq"	Jerusalem_Post	Wed Dec 16 22:13:12 +0000 2020	https://twitter.com/twitter/statuses/1339332779180482562	1	6	[{'text': 'Brazil', 'indices': [0, 7]}, {'text': 'coronavirus', 'indices': [66, 78]}]
9	15976	"The #Health Ministry announced 11,953 new confirmed #COVID19 #infections in #Poland, increasing the total number of cases recorded in the country to 1,171,854 including 244,160 still active.
@MZ_GOV_PL 
#COVID19PL #coronavirus #pandemic
More:
https://t.co/K17YnsZOWt https://t.co/zr2yatW8qY"	Polandin_com	Thu Dec 17 10:56:57 +0000 2020	https://twitter.com/twitter/statuses/1339524983249391617	0	1	[{'text': 'Health', 'indices': [4, 11]}, {'text': 'COVID19', 'indices': [52, 60]}, {'text': 'infections', 'indices': [61, 72]}, {'text': 'Poland', 'indices': [76, 83]}, {'text': 'COVID19PL', 'indices': [203, 213]}, {'text': 'coronavirus', 'indices': [214, 226]}, {'text': 'pandemic', 'indices': [227, 236]}]
10	16682	"#CORONAVIRUS
Update no. 272 on the situation of Covid-19 with 21.763.865 cases in Europe, 1.773.290 cases diagnosed in Spain through a PCR test and 48.596 deaths. 
More countries and regions: https://t.co/GngEkjoe6E"	cdeualmeria	Thu Dec 17 11:30:22 +0000 2020	https://twitter.com/twitter/statuses/1339533392044584962	0	0	[{'text': 'CORONAVIRUS', 'indices': [0, 12]}]
11	1135	"Nepal: With 2 new cases, country’s tally rises to 245. https://t.co/ebAewb4Yf7 

#Coronavirus #nexnewsnetwork #TBM #TheBroadcastMedia"	nexnewsnetwork	Mon Dec 07 12:48:26 +0000 2020	https://twitter.com/twitter/statuses/1335929160951197700	0	0	[{'text': 'Coronavirus', 'indices': [81, 93]}, {'text': 'nexnewsnetwork', 'indices': [94, 109]}, {'text': 'TBM', 'indices': [110, 114]}, {'text': 'TheBroadcastMedia', 'indices': [115, 133]}]
12	15421	"2,545 new #COVID19 cases were reported in last 24 hours in Pakistan🇵🇰 bringing the tally to 448,522, whereas as 71 people lost their lives. 40,090 tests were conducted across the country with the positivity rate of 6.3%.
#CoronaVirus #CoronaVirusUpdates"	anthpkofficial	Thu Dec 17 10:30:21 +0000 2020	https://twitter.com/twitter/statuses/1339518288544624642	1	1	[{'text': 'COVID19', 'indices': [10, 18]}, {'text': 'CoronaVirus', 'indices': [221, 233]}, {'text': 'CoronaVirusUpdates', 'indices': [234, 253]}]
13	5430	"@WassimCornet 🇩🇪 #Germany's #Bavaria region is pushing for tougher #coronavirus measures as cases remain high despite five weeks of national restrictions.

As @shirlisitbon reports, Bavaria has one of the country's highest number of cases and the worst death toll ⤵️ https://t.co/NQTswX4FRS"	France24_en	Mon Dec 07 15:31:13 +0000 2020	https://twitter.com/twitter/statuses/1335970126173233153	12	7	[{'text': 'Germany', 'indices': [17, 25]}, {'text': 'Bavaria', 'indices': [28, 36]}, {'text': 'coronavirus', 'indices': [67, 79]}]
