QUERY: 	I got covid
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
2	12623	Covid vaccine tomorrow!!! Wahoo!!!	SassyRedGurl	Wed Dec 16 22:16:59 +0000 2020	https://twitter.com/twitter/statuses/1339333729030909958	0	1	[]
3	10328	Put the covid vaccine in the percs	tokyo_bradshaw	Wed Dec 16 22:14:40 +0000 2020	https://twitter.com/twitter/statuses/1339333145372594186	0	0	[]
4	8580	Are we taking  covid vaccine frfr	Tori_Tosh	Wed Dec 16 22:12:51 +0000 2020	https://twitter.com/twitter/statuses/1339332687765655560	0	0	[]
5	7903	Just scheduled myself to get the covid vaccine	QueeneyFeeney	Wed Dec 16 22:12:06 +0000 2020	https://twitter.com/twitter/statuses/1339332500926181376	0	0	[]
6	14228	@ShyChump @bette_oh Vaccines have always been fucked up. The same ingredients in covid are in every other vaccine. Vaccine manufacturers haven’t been liable since 1986.	gjamieleee	Wed Dec 16 22:18:40 +0000 2020	https://twitter.com/twitter/statuses/1339334154140397568	0	0	[]
7	14416	some ppl are really out there more scared of the vaccine than covid...	stephanieotte_	Wed Dec 16 22:18:51 +0000 2020	https://twitter.com/twitter/statuses/1339334201284255745	0	2	[]
8	8215	Just scheduled my covid vaccine for next week 🥲😷	nurseaudge	Wed Dec 16 22:12:27 +0000 2020	https://twitter.com/twitter/statuses/1339332590042570753	0	5	[]
9	11283	Weird those were the same symptoms when i had COVID. Is the vaccine like smallpox, a live vaccine???? COVID-19 Vaccine Trial Volunteers Note Occasional Harsh Side Effects | The Daily Wire https://t.co/dOQFPsYJ8M	Martym226	Wed Dec 16 22:15:36 +0000 2020	https://twitter.com/twitter/statuses/1339333382497505280	0	0	[]
10	9041	"//covid 
my mom being the front line strong worker she is she just got her covid vaccine 💪💪"	cusyouremystar	Wed Dec 16 22:13:19 +0000 2020	https://twitter.com/twitter/statuses/1339332806166589446	0	3	[]
11	9353	My COVID vaccine experience... 12-14 hrs post vaccine, shoulder sore, then very tired, otherwise no real issues.	ucflynp	Wed Dec 16 22:13:38 +0000 2020	https://twitter.com/twitter/statuses/1339332887955562496	0	0	[]
12	4364	Dec. 6 Covid news and updates on latest with vaccines https://t.co/OEF0GsPf4e via @NBCNews #covid19 #coronavirus #vaccine	NNVCNYSE	Mon Dec 07 14:55:30 +0000 2020	https://twitter.com/twitter/statuses/1335961138257940483	0	0	[{'text': 'covid19', 'indices': [91, 99]}, {'text': 'coronavirus', 'indices': [100, 112]}, {'text': 'vaccine', 'indices': [113, 121]}]
13	4352	WATCH PLEASE. PROTECT YOUR FAMILIES. #vaccines #vaccine #coronavirusvaccine #coronavirus #covid_19 #covid #fakevaccine #fuckyourvaccine https://t.co/emcXPAKIMx	spazecraft	Mon Dec 07 14:55:06 +0000 2020	https://twitter.com/twitter/statuses/1335961034251649026	0	0	[{'text': 'vaccines', 'indices': [37, 46]}, {'text': 'vaccine', 'indices': [47, 55]}, {'text': 'coronavirusvaccine', 'indices': [56, 75]}, {'text': 'coronavirus', 'indices': [76, 88]}, {'text': 'covid_19', 'indices': [89, 98]}, {'text': 'covid', 'indices': [99, 105]}, {'text': 'fakevaccine', 'indices': [106, 118]}, {'text': 'fuckyourvaccine', 'indices': [119, 135]}]
14	12716	@Matthew_4_Trump @cottonpony My doctor said I don’t have to get the vaccine because I had Covid.  I have to make sure I test positive on the antibody test which is 50% accurate. People now will probably want to get Covid more than the vaccine. I’m glad the Pres has the vaccine,  but it needs to be optional	2BFIT4HIM	Wed Dec 16 22:17:04 +0000 2020	https://twitter.com/twitter/statuses/1339333752632164352	0	2	[]
15	14394	The John Williams NewsClick: The COVID vaccine https://t.co/wpmKk7aNaB	WGNRadio	Wed Dec 16 22:18:50 +0000 2020	https://twitter.com/twitter/statuses/1339334194934272006	1	0	[]
16	12698	Covid vaccine is a two part series folks	y3lla	Wed Dec 16 22:17:04 +0000 2020	https://twitter.com/twitter/statuses/1339333748970708995	0	0	[]
